track,tempo,score
"さよならの前に",98.02,5.92000007629395
"Exclusividade - Ao Vivo",95.027,6.63500022888184
"Suena El Dembow",92.042,5.49300003051758
"U, u, u",124.964,5.32399988174438
"Wanna Know Remix (feat. Drake)",100.017,6.71400022506714
"Tu de Que Vas",97.993,5.71500015258789
Tuesday,99.002,5.22700023651123
"Trevo (Tu)",99.808,6.63500022888184
"Gauner in Lacoste",147.942,6.95100021362305
"E Essa Boca Aí? - Ao Vivo",150.045,6.63500022888184
"Ár Eftir Ár",134.973,7.50400018692017
"Áhrifin",160.021,7.50400018692017
"Zieh' den Rucksack aus",108.057,7.00600004196167
"Esa Boquita",180.021,5.49300003051758
Dueles,142.026,5.49300003051758
Kataomoi,96.986,5.92000007629395
Serseri,74.999,5.5
Myself,159.741,7.31599998474121
"Playa y Arena (Remix)",126.01,6.40299987792969
"Quisiera Ser Como el Perro",123.033,6.65199995040894
Creo,187.941,6.4539999961853
"Dime Si Vas a Volver",180.02,5.49300003051758
"New Freezer (feat. Kendrick Lamar)",140.012,5.22700023651123
"Feel - Radio Edit",121.004,7.00600004196167
Carnavalintro,190.065,5.49300003051758
"Vou Voando - Ao Vivo",136.898,6.63500022888184
Baila,106.007,6.4539999961853
"Aji Aji",103.989,7.52199983596802
Criminal,79.987,5.49300003051758
"Cheap Thrills",89.972,6.71400022506714
"I Can´t Go On",109.007,5.22700023651123
"The Sound",120.723,6.71400022506714
"Tårarna i halsen",79.984,7.28399991989136
"Real Thing (feat. Future)",160.054,7.31599998474121
"Háblame Bajito",92.026,5.49300003051758
Leve,177.843,6.57800006866455
4/5,159.935,7.3769998550415
"Sólo Mía",174.05,5.49300003051758
Canavar,100.002,5.5
"Finding You",199.661,7.28399991989136
Vliegtuig,140.034,7.3769998550415
Loterij,100.004,7.3769998550415
"Thinking About It (Let It Go) - KVR Remix",100.985,6.57200002670288
"Bak Bana",127.909,5.5
"Tú Sí Sabes Quererme",170.057,6.35699987411499
"Fluorescent Adolescent",112.115,6.71400022506714
"Everywhere - Remastered",114.965,7.28399991989136
"Hej, Sokoly!",166.264,6.09800004959106
"Purple Lamborghini (with Rick Ross)",147.268,7.28399991989136
"Amor para un Rato",110.076,6.4539999961853
"Otra Vez (feat. J Balvin)",96.016,5.49300003051758
"No More Sad Songs",102.024,6.71400022506714
"Rockin’",112.877,7.28399991989136
"Lamborghini - RMX",124.047,5.96400022506714
"Senza Pagare VS T-Pain",96.035,5.96400022506714
"Muy Personal",169.929,5.49300003051758
GAGA,128.243,5.92000007629395
"Me Enamoré",103.637,5.49300003051758
"Pulang Di Hari Raya",125.309,6.08400011062622
"Ah Ulan Sevda",132.054,5.5
"Tala Saman",140.0,7.50400018692017
"Glaub mir",145.361,7.00600004196167
"Mayor Que Yo 3",92.014,6.40299987792969
Ella,199.225,5.23000001907349
"Six Feet Under",140.035,5.22700023651123
Singular,119.713,6.63500022888184
Bargeld,168.078,7.00600004196167
Legende,134.001,7.52199983596802
Labbilabb,169.955,7.50400018692017
"Llegaste tú (feat. Reykon)",102.989,5.49300003051758
"Tamo Heavy",91.917,5.23000001907349
"Negarlo Todo",95.697,6.4539999961853
"Hey Baby - Lost Frequencies Remix",115.969,6.89099979400635
"La isla del amor - RMX",94.872,6.40299987792969
Recuerdos,78.982,5.49300003051758
"Me Llamas (feat. Maluma) - Remix",93.05,5.49300003051758
"Egoísta",91.999,5.49300003051758
"Sen Beni Yine",82.003,5.5
Demons,179.561,5.49300003051758
"Γ. Mosaïque solitaire",125.172,6.89099979400635
"Mutlu Sonsuz (Delibal Original Soundtrack)",64.689,5.5
"I Belong Here",117.982,7.28399991989136
"Nowy Kolor feat. Taco Hemingway",154.852,5.97300004959106
"また逢う日まで",78.007,5.92000007629395
"Ready To Love You",103.268,7.28399991989136
"Sin Contrato",96.022,5.49300003051758
"Noites Frustradas - Ao Vivo",110.027,6.63500022888184
"Tatlıyla Balla",91.98,5.5
"House Work",123.967,6.71400022506714
"Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica]",88.32,7.4689998626709
"Me Acostumbre (feat. Bad Bunny)",124.041,5.49300003051758
"We Are",147.982,5.92000007629395
"Way Down We Go",163.255,5.22700023651123
Cola,122.007,7.28399991989136
"Ay Mami (feat. Bryant Myers)",120.084,5.23000001907349
"De Pies a Cabeza",169.988,5.49300003051758
