songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys,country_name,cap_name,cap_lat,cap_long,cc,continent
3OQXAp3uGQvkPi4DAMaM5p,"Adiós Amor","Christian Nodal",mx,2017-08-24,50,105315,0.431,0.452,2.0,-5.165,1.0,0.0346,0.324,0.0,0.313,0.742,177.78,202480.0,4.0,Mexico,25,6.57800006866455,6.67114890769124,6.48485122963786,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2.83715486526489,Mexico,"Mexico City",19.4333333333333,-99.133333,MX,"Central America"
41kE0bBBpwPUZEZKxSIROh,"Old School","Urban Cone",gb,2017-01-27,145,45307,0.686,0.748,2.0,-5.702,1.0,0.0434,0.0161,0.0406,0.296,0.259,94.995,183988.0,4.0,"United Kingdom",19,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,"United Kingdom",London,51.5,-0.083333,GB,Europe
7fUWZUNj5qbEuoL6K9947g,"Heute mit mir",Nimo,at,2017-12-31,93,5724,0.837,0.84,5.0,-4.78,0.0,0.0447,0.338,2.11e-05,0.0752,0.845,117.015,221680.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
4BxHfA1dWlOJ66dKvAdQPr,"Eikö Sua Hävetä","Tuure Boelius",fi,2017-10-08,192,5803,0.801,0.563,9.0,-3.812,0.0,0.0789,0.11,0.0,0.0374,0.695,147.044,170079.0,4.0,Finland,5,7.4689998626709,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,Finland,Helsinki,60.1666666666667,24.933333,FI,Europe
20ZAJdsKB5IGbGj4ilRt2o,"Dile Que Tu Me Quieres",Ozuna,py,2017-08-24,67,2287,0.721,0.687,1.0,-6.682,1.0,0.0782,0.0998,0.0,0.0679,0.825,175.914,226400.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
02WacdrRpm4zlP8H7X6bnQ,"Dancing On My Own","Calum Scott",au,2017-11-12,193,20751,0.608,0.174,1.0,-8.796,1.0,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,260004.0,4.0,Australia,10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,Australia,Canberra,-35.2666666666667,149.133333,AU,Australia
369SOcTvxnm9DWYIzoNzal,Skandale,"Bonez MC",at,2017-02-07,200,1469,0.719,0.837,9.0,-5.109,0.0,0.222,0.119,7.77e-05,0.0583,0.571,99.073,194510.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
4okba5wu9mMLXx79DXLKi3,"La Rompe Corazones","Daddy Yankee",py,2017-12-31,97,2068,0.685,0.859,5.0,-2.595,0.0,0.0553,0.116,0.0,0.317,0.891,176.018,204520.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
2Inz7gGPGgieN0CTw9TOOs,"September Song","JP Cooper",lv,2017-11-13,53,1043,0.622,0.609,0.0,-6.702,0.0,0.038,0.0455,0.0,0.0903,0.398,95.955,220291.0,4.0,Latvia,54,5.84999990463257,5.92026353821158,5.77973627105355,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,1.99365520477295,Latvia,Riga,56.95,24.1,LV,Europe
00vk0sEfb6mr2ehwSw0Uhn,"Don't Be So Shy - Filatov & Karas Remix",Imany,nl,2017-03-02,176,14709,0.773,0.849,8.0,-8.345,0.0,0.0587,0.057,0.0103,0.397,0.913,119.981,192227.0,4.0,Netherlands,6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,Netherlands,Amsterdam,52.35,4.916667,NL,Europe
